#
# Output is generated by GenSAS 7.x-5.0
#
#name     : mRNA
#start    : Start of alignment in subject
#end      : End of alignment in subject
#m_start  : Start of alignment in query
#m_end    : End of alignment in query
#al       : Alignment length
#score    : Row score of the match
#evalue   : E value of the match
#identity : Percentage of identical matches
name	start	end	score	Accession	Match ID	m_start	m_end	E-value	identity	al
32225-Vv.00g000620.m01	1	79	388	P20500	sp|P20500|I5_VACCC	1	79	7.82e-50	100.000	79
32225-Vv.00g000630.m01	1	364	1703	P68462	sp|P68462|I6_VACCW	1	364	0.0	99.176	364
32225-Vv.00g000640.m01	1	423	2159	P12926	sp|P12926|I7_VACCW	1	423	0.0	99.764	423
32225-Vv.00g000650.m01	1	676	3523	O57193	sp|O57193|NPH2_VACCA	1	676	0.0	100.000	676
32225-Vv.00g000660.m01	1	591	3122	P68493	sp|P68493|MP44_VACCT	1	591	0.0	100.000	591
32225-Vv.00g000670.m01	33	111	410	P68458	sp|P68458|G3_VACCW	1	79	1.05e-52	100.000	79
32225-Vv.00g000680.m01	1	220	1145	P68456	sp|P68456|G2_VACCW	1	220	9.91e-161	100.000	220
32225-Vv.00g000690.m01	1	124	648	Q77TL3	sp|Q77TL3|GLRX2_VACCT	1	124	4.28e-88	100.000	124
32225-Vv.00g000700.m01	1	434	2126	P21026	sp|P21026|G5_VACCC	1	434	0.0	99.539	434
32225-Vv.00g000710.m01	1	63	256	P68316	sp|P68316|RP07_VACCT	1	63	3.59e-30	100.000	63
32225-Vv.00g000720.m01	1	165	875	Q80HW9	sp|Q80HW9|G6_VACCW	1	165	2.54e-121	99.394	165
32225-Vv.00g000730.m01	1	371	1755	P21028	sp|P21028|G7_VACCC	1	371	0.0	99.730	371
32225-Vv.00g000740.m01	1	260	1377	O57198	sp|O57198|VLTF1_VACCA	1	260	0.0	100.000	260
32225-Vv.00g000750.m01	1	319	1733	O57199	sp|O57199|G9_VACCA	1	319	0.0	100.000	319
32225-Vv.00g000760.m01	1	250	1334	P20540	sp|P20540|L1_VACCC	1	250	0.0	100.000	250
32225-Vv.00g000770.m01	1	87	254	P33041	sp|P33041|L2_VAR67	1	87	4.35e-29	97.701	87
32225-Vv.00g000780.m01	1	350	1862	P07614	sp|P07614|L3_VACCW	1	350	0.0	99.143	350
32225-Vv.00g000790.m01	1	251	1303	P20981	sp|P20981|VP8_VACCC	1	251	0.0	100.000	251
32225-Vv.00g000800.m01	1	128	568	P68623	sp|P68623|L5_VACCW	1	128	1.01e-75	99.219	128
32225-Vv.00g000810.m01	1	153	759	P07616	sp|P07616|J1_VACCW	1	153	4.37e-104	98.693	153
32225-Vv.00g000820.m01	1	177	880	O57203	sp|O57203|KITH_VACCA	1	177	1.25e-121	100.000	177
32225-Vv.00g000830.m01	1	310	1567	P07617	sp|P07617|MCE_VACCW	1	310	0.0	100.000	310
32225-Vv.00g000840.m01	57	185	664	P68609	sp|P68609|RP22_VACCW	1	129	1.60e-89	100.000	129
32225-Vv.00g000850.m01	1	133	609	P07618	sp|P07618|J5_VACCW	1	133	9.67e-82	100.000	133
32225-Vv.00g000860.m01	1	1286	6751	O57204	sp|O57204|RP147_VACCA	1	1286	0.0	99.922	1286
32225-Vv.00g000870.m01	1	171	846	P07239	sp|P07239|DUSP_VACCW	1	171	9.10e-117	100.000	171
32225-Vv.00g000880.m01	1	189	1019	P08583	sp|P08583|H2_VACCW	1	189	1.52e-142	100.000	189
32225-Vv.00g000890.m01	1	324	1539	P20497	sp|P20497|H3_VACCC	1	324	0.0	99.383	324
32225-Vv.00g000900.m01	1	795	4059	O57207	sp|O57207|RAP94_VACCA	1	795	0.0	100.000	795
32225-Vv.00g000920.m01	1	189	791	P07242	sp|P07242|H5_VACCW	1	189	2.34e-107	100.000	189
32225-Vv.00g000930.m01	1	314	1666	P68698	sp|P68698|TOP1_VACCW	1	314	0.0	100.000	314
32225-Vv.00g000940.m01	1	146	767	O57208	sp|O57208|H7_VACCA	1	146	1.79e-105	100.000	146
32225-Vv.00g000950.m01	1	844	4441	O57209	sp|O57209|MCEL_VACCA	1	844	0.0	100.000	844
32225-Vv.00g000960.m01	52	146	485	P21008	sp|P21008|D2_VACCC	1	95	2.46e-63	100.000	95
32225-Vv.00g000970.m01	1	233	1238	O57210	sp|O57210|D3_VACCA	1	233	2.10e-174	100.000	233
32225-Vv.00g000980.m01	1	218	1102	Q91UM2	sp|Q91UM2|UNG_VACCA	1	218	4.03e-154	100.000	218
32225-Vv.00g000990.m01	1	484	2508	P04305	sp|P04305|D5_VACCW	1	484	0.0	99.380	484
32225-Vv.00g001000.m01	483	785	1617	P21010	sp|P21010|D5_VACCC	11	313	0.0	99.670	303
32225-Vv.00g001010.m01	1	637	3342	O93120	sp|O93120|ETF1_VACCA	1	637	0.0	100.000	637
32225-Vv.00g001020.m01	1	161	840	P04310	sp|P04310|RP18_VACCW	1	161	4.76e-116	99.379	161
32225-Vv.00g001030.m01	1	304	1450	O57211	sp|O57211|CAHH_VACCA	1	304	0.0	100.000	304
32225-Vv.00g001040.m01	5	213	1084	P21011	sp|P21011|D9_VACCC	1	209	1.20e-151	99.522	209
32225-Vv.00g001050.m01	1	248	1279	P04312	sp|P04312|D10_VACCW	1	248	3.40e-180	98.387	248
32225-Vv.00g001060.m01	1	631	3289	O57214	sp|O57214|NTP1_VACCA	1	631	0.0	100.000	631
32225-Vv.00g001070.m01	1	287	1507	O57215	sp|O57215|MCES_VACCA	1	287	0.0	100.000	287
32225-Vv.00g001080.m01	1	551	2889	Q77TJ4	sp|Q77TJ4|D13_VACCT	1	551	0.0	100.000	551
32225-Vv.00g001090.m01	1	150	781	O57216	sp|O57216|VLTF2_VACCA	1	150	1.68e-107	100.000	150
32225-Vv.00g001100.m01	1	224	1174	P68319	sp|P68319|VLTF3_VACCW	1	224	6.15e-165	100.000	224
32225-Vv.00g001110.m01	1	76	401	P0CK20	sp|P0CK20|A25_VACCC	1	76	7.07e-52	100.000	76
32225-Vv.00g001120.m01	1	644	3474	P20643	sp|P20643|P4B_VACCC	1	644	0.0	99.845	644
32225-Vv.00g001130.m01	1	281	978	P20983	sp|P20983|A4_VACCC	1	272	2.35e-133	95.018	281
32225-Vv.00g001140.m01	36	164	680	P68611	sp|P68611|RP19_VACCW	36	164	1.11e-91	100.000	129
32225-Vv.00g001150.m01	1	372	1910	P20985	sp|P20985|A6_VACCC	1	372	0.0	99.731	372
32225-Vv.00g001160.m01	1	710	3681	O57220	sp|O57220|ETF2_VACCA	1	710	0.0	100.000	710
32225-Vv.00g001170.m01	1	288	1522	P68720	sp|P68720|VTF3S_VACCW	1	288	0.0	100.000	288
32225-Vv.00g001180.m01	1	71	375	P20987	sp|P20987|A9_VACCC	1	71	2.31e-47	100.000	71
32225-Vv.00g001190.m01	2	891	4617	P20642	sp|P20642|P4A_VACCC	1	890	0.0	98.989	890
32225-Vv.00g001200.m01	1	318	1483	P20988	sp|P20988|A11_VACCC	1	318	0.0	100.000	318
32225-Vv.00g001210.m01	1	187	679	O57224	sp|O57224|A12_VACCA	1	187	8.33e-91	100.000	187
32225-Vv.00g001220.m01	1	69	189	Q76ZQ4	sp|Q76ZQ4|A13_VACCW	1	69	1.15e-19	95.652	69
32225-Vv.00g001230.m01	4	90	386	Q76ZQ3	sp|Q76ZQ3|A14_VACCW	1	87	2.80e-49	100.000	87
32225-Vv.00g001240.m01	1	38	124	P0CK27	sp|P0CK27|A145_VAR67	1	38	2.40e-10	100.000	38
32225-Vv.00g001250.m01	1	94	479	P68718	sp|P68718|A15_VACCW	1	94	3.15e-63	100.000	94
32225-Vv.00g001260.m01	1	377	1888	O93122	sp|O93122|A16_VACCA	1	377	0.0	100.000	377
32225-Vv.00g001270.m01	9	203	731	P68594	sp|P68594|A17_VAR67	1	195	2.58e-98	98.974	195
32225-Vv.00g001280.m01	6	493	2610	O57227	sp|O57227|A18_VACCA	1	488	0.0	100.000	488
32225-Vv.00g001290.m01	1	77	386	P68714	sp|P68714|A19_VACCW	1	77	1.48e-49	100.000	77
32225-Vv.00g001300.m01	26	117	475	P68712	sp|P68712|A21_VACCW	1	92	2.17e-62	100.000	92
32225-Vv.00g001310.m01	1	426	2132	P68710	sp|P68710|A20_VACCW	1	426	0.0	100.000	426
32225-Vv.00g001320.m01	16	187	915	O57229	sp|O57229|RUVV_VACCA	1	172	5.45e-127	100.000	172
32225-Vv.00g001330.m01	1	382	1852	Q77TH8	sp|Q77TH8|VTF3L_VACCT	1	382	0.0	100.000	382
32225-Vv.00g001340.m01	9	1164	5933	Q76ZP7	sp|Q76ZP7|RP132_VACCW	1	1156	0.0	99.827	1156
32225-Vv.00g001350.m01	1	65	273	P21113	sp|P21113|ATI3_VACCC	1	65	1.32e-32	98.462	65
32225-Vv.00g001360.m01	62	154	285	Q80HV0	sp|Q80HV0|ATI2_VACCW	1	95	6.83e-33	84.375	96
32225-Vv.00g001370.m01	232	347	456	P24758	sp|P24758|A26_VACCW	1	120	1.84e-54	75.833	120
32225-Vv.00g001380.m01	1	227	1205	P24758	sp|P24758|A26_VACCW	1	227	2.25e-165	99.119	227
32225-Vv.00g001390.m01	1	110	564	P11258	sp|P11258|A27_VACCW	1	110	9.68e-76	99.091	110
32225-Vv.00g001400.m01	1	146	768	P68633	sp|P68633|A28_VACCW	1	146	1.09e-105	100.000	146
32225-Vv.00g001410.m01	1	305	1618	O57233	sp|O57233|RP35_VACCA	1	305	0.0	100.000	305
32225-Vv.00g001420.m01	1	77	274	P68597	sp|P68597|A30_VAR67	1	77	1.78e-32	100.000	77
32225-Vv.00g001430.m01	1	39	191	P0CK19	sp|P0CK19|A305_VACCW	1	39	6.33e-21	100.000	39
32225-Vv.00g001440.m01	1	112	563	P21096	sp|P21096|A31_VACCC	1	112	4.80e-75	99.107	112
32225-Vv.00g001450.m01	1	258	1375	P68615	sp|P68615|A32_VACCW	1	258	0.0	99.612	258
32225-Vv.00g001460.m01	1	185	858	P68617	sp|P68617|A33_VACCW	1	185	3.80e-118	98.378	185
32225-Vv.00g001470.m01	1	168	782	P24761	sp|P24761|A34_VACCW	1	168	5.24e-107	99.405	168
32225-Vv.00g001480.m01	1	176	825	P21058	sp|P21058|A35_VACCC	1	176	2.52e-113	100.000	176
32225-Vv.00g001490.m01	1	217	956	P68619	sp|P68619|A36_VACCW	1	208	3.97e-132	95.392	217
32225-Vv.00g001500.m01	1	262	1345	P21060	sp|P21060|A37_VACCC	1	262	0.0	99.618	262
32225-Vv.00g001520.m01	1	277	1313	P21061	sp|P21061|A38_VACCC	1	277	0.0	98.917	277
32225-Vv.00g001530.m01	39	114	293	P24764	sp|P24764|SEMA_VACCW	1	76	1.01e-32	93.421	76
32225-Vv.00g001540.m01	194	403	1111	P21062	sp|P21062|SEMA_VACCC	1	210	7.61e-153	99.524	210
32225-Vv.00g001550.m01	1	158	743	P24765	sp|P24765|A40_VACCW	1	158	3.50e-101	98.101	158
32225-Vv.00g001560.m01	10	219	1113	P21064	sp|P21064|A41_VACCC	1	210	5.20e-156	99.524	210
32225-Vv.00g001570.m01	1	128	678	O57243	sp|O57243|PROF_VACCA	1	128	1.63e-92	100.000	128
32225-Vv.00g001580.m01	1	194	972	P26671	sp|P26671|A43_VACCW	1	190	2.69e-135	97.938	194
32225-Vv.00g001590.m01	1	48	230	Q80HU0	sp|Q80HU0|169_VACCW	1	48	8.52e-26	100.000	48
32225-Vv.00g001600.m01	1	346	1868	O57245	sp|O57245|3BHS_VACCA	1	346	0.0	100.000	346
32225-Vv.00g001610.m01	1	121	612	O57246	sp|O57246|SODL_VACCA	1	121	1.12e-82	100.000	121
32225-Vv.00g001620.m01	1	240	1164	P26672	sp|P26672|A46_VACCW	1	240	7.29e-163	99.167	240
32225-Vv.00g001630.m01	1	238	1238	O57248	sp|O57248|A47_VACCA	1	238	2.56e-174	100.000	238
32225-Vv.00g001640.m01	1	204	1088	Q77TG7	sp|Q77TG7|KTHY_VACCT	1	204	1.39e-152	100.000	204
32225-Vv.00g001650.m01	1	162	821	O57249	sp|O57249|A49_VACCA	1	162	3.64e-113	100.000	162
32225-Vv.00g001660.m01	1	552	2865	O57250	sp|O57250|DNLI_VACCA	1	552	0.0	100.000	552
32225-Vv.00g001670.m01	1	310	1631	Q89181	sp|Q89181|A51_VACCA	1	310	0.0	100.000	310
32225-Vv.00g001680.m01	1	315	1333	Q89182	sp|Q89182|HEMA_VACCA	1	315	0.0	100.000	315
32225-Vv.00g001690.m01	55	151	495	P21074	sp|P21074|A57_VACCC	1	97	8.90e-65	96.907	97
32225-Vv.00g001700.m01	1	300	1608	O57252	sp|O57252|B1_VACCA	8	307	0.0	100.000	300
32225-Vv.00g001710.m01	92	219	667	Q01225	sp|Q01225|B2_VACCW	6	133	1.88e-89	98.438	128
32225-Vv.00g001720.m01	1	58	318	Q01226	sp|Q01226|B3_VACCW	1	58	3.18e-38	98.276	58
32225-Vv.00g001730.m01	144	323	278	Q8IYM2	sp|Q8IYM2|SLN12_HUMAN	5	173	1.00e-27	36.612	183
32225-Vv.00g001740.m01	161	558	1957	P24769	sp|P24769|B4_VACCW	22	409	0.0	96.000	400
32225-Vv.00g001750.m01	1	310	1553	O57254	sp|O57254|B5_VACCA	1	310	0.0	100.000	310
32225-Vv.00g001760.m01	1	173	901	P68442	sp|P68442|B6_VACCW	1	173	4.34e-125	100.000	173
32225-Vv.00g001770.m01	1	182	900	P68444	sp|P68444|B7_VACCW	1	177	1.16e-124	97.253	182
32225-Vv.00g001780.m01	1	241	1171	P24770	sp|P24770|B8_VACCW	1	226	8.76e-164	93.776	241
32225-Vv.00g001790.m01	1	158	695	O57257	sp|O57257|VB10_VACCA	23	180	8.42e-94	100.000	158
32225-Vv.00g001800.m01	2	72	189	Q01229	sp|Q01229|B11_VACCW	4	74	1.31e-19	94.366	71
32225-Vv.00g001810.m01	1	283	1427	O57259	sp|O57259|KRB2_VACCA	1	283	0.0	100.000	283
32225-Vv.00g001820.m01	1	116	572	P20841	sp|P20841|SPI2A_VACCC	1	116	1.12e-76	95.690	116
32225-Vv.00g001830.m01	1	222	1089	P20842	sp|P20842|SPI2B_VACCC	1	222	4.97e-152	98.198	222
32225-Vv.00g001840.m01	1	149	754	P21089	sp|P21089|B14_VACCC	1	143	1.60e-103	95.302	149
32225-Vv.00g001850.m01	1	326	1669	O57261	sp|O57261|IL1BP_VACCA	1	326	0.0	100.000	326
32225-Vv.00g001860.m01	1	340	1771	P21075	sp|P21075|B17_VACCC	1	340	0.0	98.529	340
32225-Vv.00g001870.m01	1	574	2997	O57263	sp|O57263|VB18_VACCA	1	574	0.0	100.000	574
32225-Vv.00g001880.m01	1	231	1252	P23998	sp|P23998|SANS_VACCD	3	233	1.20e-174	100.000	231
32225-Vv.00g001890.m01	280	351	378	P23998	sp|P23998|SANS_VACCD	1	72	4.08e-45	100.000	72
32225-Vv.00g001910.m01	22	50	148	P21099	sp|P21099|VC15_VACCC	1	29	5.59e-14	96.552	29
32225-Vv.00g001930.m01	10	181	814	P21100	sp|P21100|VC16_VACCC	29	188	2.64e-111	90.116	172
32225-Vv.00g001940.m01	25	268	994	P21101	sp|P21101|VC17_VACCC	2	226	6.22e-135	89.796	245
32225-Vv.00g001950.m01	296	378	361	O73579	sp|O73579|VD4L_CWPXG	1	77	2.98e-40	86.747	83
32225-Vv.00g001960.m01	1	41	179	P21102	sp|P21102|VC18_VACCC	1	37	8.39e-18	87.805	41
32225-Vv.00g001980.m01	97	225	418	O73559	sp|O73559|CRMB_CWPXG	30	145	1.03e-49	84.496	129
32225-Vv.00g001990.m01	1	115	385	P21090	sp|P21090|C23L_VACCC	1	106	2.92e-46	83.478	115
32225-Vv.00g002000.m01	204	244	166	Q805H7	sp|Q805H7|C23L_VACCW	1	37	2.49e-15	90.244	41
