#
# Output is generated by GenSAS 7.x-5.0
#
#IPR Term           : Corresponding InterPro entry.
#IPR Description    : Description of the InterPro entry.
#Source             : Name of the source database.
#Source Term        : Database members entry.
#Source Description : Database member description for the entry.
Name	IPR Term	IPR Description	Source	Source Term	Source Description	GO
32225-Vv.00g000230.m01	noIPR		PANTHER	PTHR11614	PHOSPHOLIPASE-RELATED	
32225-Vv.00g000240.m01	IPR029058	Alpha/Beta hydrolase fold	GENE3D	G3DSA:3.40.50.1820		
32225-Vv.00g000240.m01	IPR029058	Alpha/Beta hydrolase fold	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	
32225-Vv.00g000240.m01	IPR022742	Serine aminopeptidase, S33	PFAM	PF12146	Hydrolase_4	
32225-Vv.00g000240.m01	noIPR		PANTHER	PTHR11614	PHOSPHOLIPASE-RELATED	
32225-Vv.00g000240.m01	noIPR		PANTHER	PTHR11614:SF142	SUBFAMILY NOT NAMED	
32225-Vv.00g000250.m01	noIPR		GENE3D	G3DSA:1.10.437.20		
32225-Vv.00g000250.m01	IPR009174	Orthopoxvirus K7	PIRSF	PIRSF003764	VAC_K7R	
32225-Vv.00g000250.m01	IPR022819	Poxvirus	PFAM	PF06227	Poxvirus	
32225-Vv.00g000260.m01	IPR021119	Poxvirus F1/C10	PFAM	PF11099	M11L	GO:0019050
32225-Vv.00g000260.m01	IPR038278	Poxvirus F1/C10 domain superfamily	GENE3D	G3DSA:1.10.437.40		GO:0019050
32225-Vv.00g000260.m01	IPR011207	Orthopoxvirus protein F1	PIRSF	PIRSF015971	VAC_F1L	GO:0019050
32225-Vv.00g000270.m01	IPR029054	dUTPase-like	PFAM	PF00692	dUTPase	GO:0046080, GO:0004170
32225-Vv.00g000270.m01	IPR036157	dUTPase-like superfamily	GENE3D	G3DSA:2.70.40.10		GO:0046080, GO:0004170
32225-Vv.00g000270.m01	IPR036157	dUTPase-like superfamily	SUPERFAMILY	SSF51283	dUTPase-like	GO:0046080, GO:0004170
32225-Vv.00g000270.m01	IPR008181	Deoxyuridine triphosphate nucleotidohydrolase	TIGRFAM	TIGR00576	TIGR00576	GO:0046080, GO:0004170
32225-Vv.00g000270.m01	noIPR		PANTHER	PTHR11241	DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE	GO:0046080, GO:0004170
32225-Vv.00g000270.m01	noIPR		PANTHER	PTHR11241:SF6	DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE, MITOCHONDRIAL	GO:0046080, GO:0004170
32225-Vv.00g000280.m01	IPR006652	Kelch repeat type 1	SMART	SM00612	kelc_smart	GO:0005515
32225-Vv.00g000280.m01	IPR006652	Kelch repeat type 1	PFAM	PF01344	Kelch_1	GO:0005515
32225-Vv.00g000280.m01	IPR015915	Kelch-type beta propeller	GENE3D	G3DSA:2.120.10.80		GO:0005515
32225-Vv.00g000280.m01	IPR015915	Kelch-type beta propeller	SUPERFAMILY	SSF117281	Kelch motif	GO:0005515
32225-Vv.00g000280.m01	noIPR		GENE3D	G3DSA:3.30.710.10		GO:0005515
32225-Vv.00g000280.m01	noIPR		PANTHER	PTHR24412	FAMILY NOT NAMED	GO:0005515
32225-Vv.00g000280.m01	noIPR		PANTHER	PTHR24412:SF172	KELCH-LIKE PROTEIN 10	GO:0005515
32225-Vv.00g000280.m01	IPR011705	BTB/Kelch-associated	PFAM	PF07707	BACK	GO:0005515
32225-Vv.00g000280.m01	IPR000210	BTB/POZ domain	PFAM	PF00651	BTB	GO:0005515
32225-Vv.00g000280.m01	IPR011333	SKP1/BTB/POZ domain superfamily	SUPERFAMILY	SSF54695	POZ domain	GO:0005515
32225-Vv.00g000290.m01	IPR012348	Ribonucleotide reductase-like	GENE3D	G3DSA:1.10.620.20		GO:0016491, GO:0055114
32225-Vv.00g000290.m01	IPR000358	Ribonucleotide reductase small subunit family	PFAM	PF00268	Ribonuc_red_sm	GO:0016491, GO:0055114
32225-Vv.00g000290.m01	IPR000358	Ribonucleotide reductase small subunit family	PANTHER	PTHR23409	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SMALL CHAIN	GO:0016491, GO:0055114
32225-Vv.00g000290.m01	noIPR		PANTHER	PTHR23409:SF20	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT M2	GO:0016491, GO:0055114
32225-Vv.00g000290.m01	IPR030475	Ribonucleotide reductase small subunit, acitve site	PROSITE_PATTERNS	PS00368	RIBORED_SMALL	GO:0016491, GO:0055114
32225-Vv.00g000290.m01	IPR009078	Ferritin-like superfamily	SUPERFAMILY	SSF47240	Ferritin-like	GO:0016491, GO:0055114
32225-Vv.00g000300.m01	IPR009521	Orthopoxvirus F6	PFAM	PF06601	Orthopox_F6	
32225-Vv.00g000300.m01	IPR009521	Orthopoxvirus F6	PRODOM	PD019451		
32225-Vv.00g000310.m01	IPR008725	Orthopoxvirus F7	PFAM	PF05813	Orthopox_F7	
32225-Vv.00g000320.m01	IPR008726	Poxvirus F8	PFAM	PF05886	Orthopox_F8	
32225-Vv.00g000320.m01	IPR008726	Poxvirus F8	PRODOM	PD010340		
32225-Vv.00g000330.m01	IPR003472	Virion membrane protein, poxvirus L1-related	PFAM	PF02442	L1R_F9L	
32225-Vv.00g000340.m01	IPR008790	Poxvirus serine/threonine kinase	PFAM	PF05445	Pox_ser-thr_kin	GO:0005524, GO:0004672, GO:0006468
32225-Vv.00g000340.m01	IPR008790	Poxvirus serine/threonine kinase	PIRSF	PIRSF015695	STPK_F10L	GO:0005524, GO:0004672, GO:0006468
32225-Vv.00g000340.m01	IPR008271	Serine/threonine-protein kinase, active site	PROSITE_PATTERNS	PS00108	PROTEIN_KINASE_ST	GO:0005524, GO:0004672, GO:0006468
32225-Vv.00g000370.m01	IPR005005	Poxvirus F12L	PIRSF	PIRSF015793	VAC_EEV	GO:0016032
32225-Vv.00g000370.m01	IPR005005	Poxvirus F12L	PFAM	PF03337	Pox_F12L	GO:0016032
32225-Vv.00g000370.m01	IPR012337	Ribonuclease H-like superfamily	SUPERFAMILY	SSF53098	Ribonuclease H-like	GO:0016032
32225-Vv.00g000380.m01	IPR001736	Phospholipase D/Transphosphatidylase	SMART	SM00155	pld_4	GO:0003824
32225-Vv.00g000380.m01	IPR001736	Phospholipase D/Transphosphatidylase	PFAM	PF00614	PLDc	GO:0003824
32225-Vv.00g000380.m01	noIPR		GENE3D	G3DSA:3.30.870.10		GO:0003824
32225-Vv.00g000380.m01	noIPR		PANTHER	PTHR10185	PHOSPHOLIPASE D - RELATED	GO:0003824
32225-Vv.00g000380.m01	noIPR		SUPERFAMILY	SSF56024	Phospholipase D/nuclease	GO:0003824
32225-Vv.00g000380.m01	noIPR		SUPERFAMILY	SSF56024	Phospholipase D/nuclease	GO:0003824
32225-Vv.00g000380.m01	IPR032803	PLD-like domain	PFAM	PF13918	PLDc_3	GO:0003824
32225-Vv.00g000390.m01	IPR009280	Orthopoxvirus F14	PFAM	PF06076	Orthopox_F14	
32225-Vv.00g000390.m01	IPR009280	Orthopoxvirus F14	PRODOM	PD015036		
32225-Vv.00g000410.m01	IPR007675	Poxvirus F15	PFAM	PF04596	Pox_F15	
32225-Vv.00g000410.m01	IPR007675	Poxvirus F15	PIRSF	PIRSF015694	VAC_F15L	
32225-Vv.00g000410.m01	IPR007675	Poxvirus F15	PRODOM	PD009406		
32225-Vv.00g000420.m01	IPR006798	Poxvirus F16	PIRSF	PIRSF015792	VAC_F16L	
32225-Vv.00g000420.m01	IPR006798	Poxvirus F16	PFAM	PF04708	Pox_F16	
32225-Vv.00g000430.m01	IPR006854	DNA-binding 11kDa phosphoprotein	PIRSF	PIRSF003688	VAC_PP	GO:0003677, GO:0019082
32225-Vv.00g000430.m01	IPR006854	DNA-binding 11kDa phosphoprotein	PFAM	PF04767	Pox_F17	GO:0003677, GO:0019082
32225-Vv.00g000430.m01	IPR006854	DNA-binding 11kDa phosphoprotein	PRODOM	PD010536		GO:0003677, GO:0019082
32225-Vv.00g000440.m01	IPR024231	Poxvirus poly(A) polymerase nucleotidyltransferase domain	PFAM	PF03296	Pox_polyA_pol	GO:0006397, GO:0004652
32225-Vv.00g000440.m01	IPR038419	Poxvirus poly(A) polymerase, nucleotidyltransferase domain superfamily	GENE3D	G3DSA:3.30.460.60		GO:0006397, GO:0004652
32225-Vv.00g000440.m01	IPR004976	Poly(A) polymerase catalytic subunit, Poxviridae	PIRSF	PIRSF015693	VAC-48L_nuct	GO:0006397, GO:0004652
32225-Vv.00g000440.m01	IPR024398	Poxvirus poly(A) polymerase, catalytic subunit, N-terminal	PFAM	PF12630	Pox_polyA_pol_N	GO:0006397, GO:0004652
32225-Vv.00g000440.m01	IPR024397	Poxvirus poly(A) polymerase, catalytic subunit, C-terminal	PFAM	PF12629	Pox_polyA_pol_C	GO:0006397, GO:0004652
32225-Vv.00g000440.m01	IPR038337	Poxvirus poly(A) polymerase, catalytic subunit, N-terminal domain superfamily	GENE3D	G3DSA:1.20.1270.320		GO:0006397, GO:0004652
32225-Vv.00g000440.m01	IPR037265	Poly(A) polymerase catalytic subunit superfamily	SUPERFAMILY	SSF160957	Poly(A) polymerase catalytic subunit-like	GO:0006397, GO:0004652
32225-Vv.00g000450.m01	IPR007585	Poxvirus E2	PIRSF	PIRSF015692	VAC_E2L	
32225-Vv.00g000450.m01	IPR021155	Poxvirus E2/O1	PFAM	PF04497	Pox_E2-like	
32225-Vv.00g000460.m01	IPR000607	Double-stranded RNA-specific adenosine deaminase (DRADA)	SMART	SM00550	1qbj_4	GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	IPR000607	Double-stranded RNA-specific adenosine deaminase (DRADA)	PFAM	PF02295	z-alpha	GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	IPR014720	Double-stranded RNA-binding domain	SMART	SM00358	DRBM_3	GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	IPR014720	Double-stranded RNA-binding domain	PFAM	PF00035	dsrm	GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	IPR036388	Winged helix-like DNA-binding domain superfamily	GENE3D	G3DSA:1.10.10.10		GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	noIPR		GENE3D	G3DSA:3.30.160.20		GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	noIPR		SUPERFAMILY	SSF54768	dsRNA-binding domain-like	GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	IPR009179	Protein E3	PIRSF	PIRSF004008	VAC_E3L	GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000460.m01	IPR036390	Winged helix DNA-binding domain superfamily	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	GO:0003726, GO:0003723, GO:0039503
32225-Vv.00g000470.m01	IPR001222	Zinc finger, TFIIS-type	SMART	SM00440	Cys4_2	GO:0006351, GO:0003676, GO:0008270, GO:0003677, GO:0003899
32225-Vv.00g000470.m01	IPR001222	Zinc finger, TFIIS-type	PFAM	PF01096	TFIIS_C	GO:0006351, GO:0003676, GO:0008270, GO:0003677, GO:0003899
32225-Vv.00g000470.m01	IPR001222	Zinc finger, TFIIS-type	PROSITE_PATTERNS	PS00466	ZF_TFIIS_1	GO:0006351, GO:0003676, GO:0008270, GO:0003677, GO:0003899
32225-Vv.00g000470.m01	IPR009162	RNA polymerase, 30kDa subunit, chordopox-type	PIRSF	PIRSF000745	VAC_RPO30	GO:0006351, GO:0003676, GO:0008270, GO:0003677, GO:0003899
32225-Vv.00g000470.m01	noIPR		GENE3D	G3DSA:2.20.25.10		GO:0006351, GO:0003676, GO:0008270, GO:0003677, GO:0003899
32225-Vv.00g000470.m01	noIPR		SUPERFAMILY	SSF57783	Zinc beta-ribbon	GO:0006351, GO:0003676, GO:0008270, GO:0003677, GO:0003899
32225-Vv.00g000470.m01	IPR024394	RNA polymerase, 30kDa subunit, chordopox-type, N-terminal	PFAM	PF12410	rpo30_N	GO:0006351, GO:0003676, GO:0008270, GO:0003677, GO:0003899
32225-Vv.00g000480.m01	IPR004334	Poxvirus E5R	PIRSF	PIRSF015691	VAC_E5R	
32225-Vv.00g000480.m01	IPR018379	BEN domain	PFAM	PF10523	BEN	
32225-Vv.00g000490.m01	IPR006749	Pox virus E6 protein	PFAM	PF04656	Pox_E6	
32225-Vv.00g000490.m01	IPR006749	Pox virus E6 protein	PIRSF	PIRSF015629	VAC_E6R	
32225-Vv.00g000500.m01	IPR035345	Viral Protein E7	PFAM	PF17467	E7R	
32225-Vv.00g000500.m01	IPR035345	Viral Protein E7	PRODOM	PD027155		
32225-Vv.00g000510.m01	IPR005057	Poxvirus E8	PIRSF	PIRSF015690	VAC_E8R	
32225-Vv.00g000510.m01	IPR005057	Poxvirus E8	PFAM	PF03394	Pox_E8	
32225-Vv.00g000510.m01	IPR005057	Poxvirus E8	PRODOM	PD011428		
32225-Vv.00g000520.m01	IPR006172	DNA-directed DNA polymerase, family B	SMART	SM00486	polmehr3	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain	PFAM	PF03104	DNA_pol_B_exo1	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	noIPR		GENE3D	G3DSA:3.90.1600.30		GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	noIPR		PANTHER	PTHR10322	DNA POLYMERASE CATALYTIC SUBUNIT	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	noIPR		SUPERFAMILY	SSF56672	DNA/RNA polymerases	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	PFAM	PF00136	DNA_pol_B	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR013660	DNA polymerase B exonuclease, N-terminal	PFAM	PF08452	DNAP_B_exo_N	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR023211	DNA polymerase, palm domain superfamily	GENE3D	G3DSA:3.90.1600.10		GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR013617	DNA-directed DNA polymerase, family B, viral insert domain	PFAM	PF08408	DNA_pol_B_3	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR036397	Ribonuclease H superfamily	GENE3D	G3DSA:3.30.420.10		GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR017964	DNA-directed DNA polymerase, family B, conserved site	PROSITE_PATTERNS	PS00116	DNA_POLYMERASE_B	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000520.m01	IPR012337	Ribonuclease H-like superfamily	SUPERFAMILY	SSF53098	Ribonuclease H-like	GO:0003676, GO:0003887, GO:0000166, GO:0003677
32225-Vv.00g000530.m01	IPR006890	Sulphydryl oxidase, FAD-linked, ERV1/ALR-type	PFAM	PF04805	Pox_E10	GO:0016972, GO:0055114
32225-Vv.00g000530.m01	IPR006890	Sulphydryl oxidase, FAD-linked, ERV1/ALR-type	PIRSF	PIRSF015696	VAC_E10R	GO:0016972, GO:0055114
32225-Vv.00g000530.m01	IPR036774	ERV/ALR sulfhydryl oxidase domain superfamily	GENE3D	G3DSA:1.20.120.310		GO:0016972, GO:0055114
32225-Vv.00g000530.m01	IPR036774	ERV/ALR sulfhydryl oxidase domain superfamily	SUPERFAMILY	SSF69000	FAD-dependent thiol oxidase	GO:0016972, GO:0055114
32225-Vv.00g000540.m01	IPR009201	Virion core protein, vaccinia E11L type	PIRSF	PIRSF015797	Virion_core	
32225-Vv.00g000540.m01	IPR009201	Virion core protein, vaccinia E11L type	PFAM	PF06138	Chordopox_E11	
32225-Vv.00g000540.m01	IPR009201	Virion core protein, vaccinia E11L type	PRODOM	PD015825		
32225-Vv.00g000550.m01	IPR021155	Poxvirus E2/O1	PFAM	PF04497	Pox_E2-like	
32225-Vv.00g000560.m01	IPR021155	Poxvirus E2/O1	PFAM	PF04497	Pox_E2-like	
32225-Vv.00g000570.m01	noIPR		GENE3D	G3DSA:3.40.30.10		GO:0045454, GO:0009055, GO:0015035
32225-Vv.00g000570.m01	noIPR		PANTHER	PTHR10168:SF180	GLUTAREDOXIN-1	GO:0045454, GO:0009055, GO:0015035
32225-Vv.00g000570.m01	noIPR		PANTHER	PTHR10168	GLUTAREDOXIN	GO:0045454, GO:0009055, GO:0015035
32225-Vv.00g000570.m01	IPR011899	Glutaredoxin, eukaryotic/virial	TIGRFAM	TIGR02180	TIGR02180	GO:0045454, GO:0009055, GO:0015035
32225-Vv.00g000570.m01	IPR002109	Glutaredoxin	PFAM	PF00462	Glutaredoxin	GO:0045454, GO:0009055, GO:0015035
32225-Vv.00g000570.m01	IPR011767	Glutaredoxin active site	PROSITE_PATTERNS	PS00195	GLUTAREDOXIN_1	GO:0045454, GO:0009055, GO:0015035
32225-Vv.00g000570.m01	IPR036249	Thioredoxin-like superfamily	SUPERFAMILY	SSF52833	Thioredoxin-like	GO:0045454, GO:0009055, GO:0015035
32225-Vv.00g000580.m01	IPR004969	Poxvirus I1	PFAM	PF03289	Pox_I1	
32225-Vv.00g000580.m01	IPR004969	Poxvirus I1	PIRSF	PIRSF015625	VAC_I1L	
32225-Vv.00g000580.m01	IPR004969	Poxvirus I1	PRODOM	PD014111		
32225-Vv.00g000590.m01	IPR009175	Poxvirus I2	PIRSF	PIRSF003766	VAC_I2L	
32225-Vv.00g000590.m01	IPR009175	Poxvirus I2	PFAM	PF12575	Pox_EPC_I2-L1	
32225-Vv.00g000600.m01	noIPR		COILS	Coil	Coil	GO:0003697
32225-Vv.00g000600.m01	IPR006754	Poxvirus I3 ssDNA-binding	PFAM	PF04661	Pox_I3	GO:0003697
32225-Vv.00g000600.m01	IPR006754	Poxvirus I3 ssDNA-binding	PIRSF	PIRSF003767	VAC_I3L	GO:0003697
32225-Vv.00g000600.m01	IPR006754	Poxvirus I3 ssDNA-binding	PRODOM	PD013923		GO:0003697
32225-Vv.00g000610.m01	IPR005144	ATP-cone domain	PFAM	PF03477	ATP-cone	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	IPR013346	Ribonucleotide reductase, class I , alpha subunit	TIGRFAM	TIGR02506	TIGR02506	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	noIPR		GENE3D	G3DSA:3.20.70.20		GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	noIPR		PANTHER	PTHR11573	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE LARGE CHAIN	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	noIPR		PANTHER	PTHR11573:SF6	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE LARGE SUBUNIT	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	noIPR		SUPERFAMILY	SSF51998	PFL-like glycyl radical enzymes	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	IPR013509	Ribonucleotide reductase large subunit, N-terminal	PFAM	PF00317	Ribonuc_red_lgN	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	IPR000788	Ribonucleotide reductase large subunit, C-terminal	PFAM	PF02867	Ribonuc_red_lgC	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	IPR000788	Ribonucleotide reductase large subunit, C-terminal	PROSITE_PATTERNS	PS00089	RIBORED_LARGE	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000610.m01	IPR008926	Ribonucleotide reductase R1 subunit, N-terminal	SUPERFAMILY	SSF48168	R1 subunit of ribonucleotide reductase, N-terminal domain	GO:0055114, GO:0004748, GO:0005524, GO:0006260
32225-Vv.00g000620.m01	IPR006803	Poxvirus I5	PFAM	PF04713	Pox_I5	
32225-Vv.00g000620.m01	IPR006803	Poxvirus I5	PIRSF	PIRSF003768	VAC_I5L	
32225-Vv.00g000620.m01	IPR006803	Poxvirus I5	PRODOM	PD012198		
32225-Vv.00g000630.m01	IPR007674	Poxvirus 36kDa major membrane	PFAM	PF04595	Pox_I6	GO:0016032
32225-Vv.00g000640.m01	IPR004970	Peptidase C57, Vaccinia virus protein I7	PFAM	PF03290	Peptidase_C57	
32225-Vv.00g000640.m01	IPR004970	Peptidase C57, Vaccinia virus protein I7	PRODOM	PD008800		
32225-Vv.00g000640.m01	IPR038765	Papain-like cysteine peptidase superfamily	SUPERFAMILY	SSF54001	Cysteine proteinases	
32225-Vv.00g000650.m01	IPR001650	Helicase, C-terminal	SMART	SM00490	helicmild6	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	IPR001650	Helicase, C-terminal	PFAM	PF00271	Helicase_C	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	IPR014001	Helicase superfamily 1/2, ATP-binding domain	SMART	SM00487	ultradead3	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0003676, GO:0005524, GO:0017111
